date,BTC_USD,ETH_USD,NASDAQ,SP500,DAX
2023-06-09,26480.375,1840.2252197265625,13259.1396484375,4298.85986328125,15949.83984375
2023-06-10,25851.240234375,1752.384765625,13259.1396484375,4298.85986328125,15949.83984375
2023-06-11,25940.16796875,1753.415283203125,13259.1396484375,4298.85986328125,15949.83984375
2023-06-12,25902.5,1742.5286865234375,13461.919921875,4338.93017578125,16097.8701171875
2023-06-13,25918.728515625,1739.03759765625,13573.3203125,4369.009765625,16230.6796875
2023-06-14,25124.67578125,1650.519287109375,13626.48046875,4372.58984375,16310.7900390625
2023-06-15,25576.39453125,1665.519775390625,13782.8203125,4425.83984375,16290.1201171875
2023-06-16,26327.462890625,1716.6688232421875,13689.5703125,4409.58984375,16357.6298828125
2023-06-17,26510.67578125,1727.2041015625,13689.5703125,4409.58984375,16357.6298828125
2023-06-18,26336.212890625,1720.5775146484375,13689.5703125,4409.58984375,16357.6298828125
2023-06-19,26851.029296875,1737.659423828125,13689.5703125,4409.58984375,16201.2001953125
2023-06-20,28327.48828125,1792.1199951171875,13667.2900390625,4388.7099609375,16111.3203125
2023-06-21,30027.296875,1891.0072021484375,13502.2001953125,4365.68994140625,16023.1298828125
2023-06-22,29912.28125,1872.9429931640625,13630.6103515625,4381.89013671875,15988.16015625
2023-06-23,30695.46875,1892.862060546875,13492.51953125,4348.330078125,15829.9404296875
2023-06-24,30548.6953125,1876.0596923828125,13492.51953125,4348.330078125,15829.9404296875
2023-06-25,30480.26171875,1900.506103515625,13492.51953125,4348.330078125,15829.9404296875
2023-06-26,30271.130859375,1859.432861328125,13335.7802734375,4328.81982421875,15813.0595703125
2023-06-27,30688.1640625,1889.703369140625,13555.669921875,4378.41015625,15846.8603515625
2023-06-28,30086.24609375,1827.97119140625,13591.75,4376.85986328125,15949.0
2023-06-29,30445.3515625,1852.227294921875,13591.330078125,4396.43994140625,15946.7197265625
2023-06-30,30477.251953125,1933.18896484375,13787.919921875,4450.3798828125,16147.900390625
2023-07-01,30590.078125,1924.56591796875,13787.919921875,4450.3798828125,16147.900390625
2023-07-02,30620.76953125,1937.4383544921875,13787.919921875,4450.3798828125,16147.900390625
2023-07-03,31156.439453125,1955.38916015625,13816.76953125,4455.58984375,16081.0400390625
2023-07-04,30777.58203125,1936.633544921875,13816.76953125,4455.58984375,16039.169921875
2023-07-05,30514.166015625,1910.5880126953125,13791.650390625,4446.81982421875,15937.580078125
2023-07-06,29909.337890625,1848.636474609375,13679.0400390625,4411.58984375,15528.5400390625
2023-07-07,30342.265625,1870.6025390625,13660.7197265625,4398.9501953125,15603.400390625
2023-07-08,30292.541015625,1865.53955078125,13660.7197265625,4398.9501953125,15603.400390625
2023-07-09,30171.234375,1863.009765625,13660.7197265625,4398.9501953125,15603.400390625
2023-07-10,30414.470703125,1880.556396484375,13685.48046875,4409.52978515625,15673.16015625
2023-07-11,30620.951171875,1878.3360595703125,13760.7001953125,4439.259765625,15790.33984375
2023-07-12,30391.646484375,1872.11376953125,13918.9599609375,4472.16015625,16023.0
2023-07-13,31476.048828125,2006.511474609375,14138.5703125,4510.0400390625,16141.0302734375
2023-07-14,30334.068359375,1939.3470458984375,14113.7001953125,4505.419921875,16105.0703125
2023-07-15,30295.806640625,1931.466552734375,14113.7001953125,4505.419921875,16105.0703125
2023-07-16,30249.1328125,1923.681884765625,14113.7001953125,4505.419921875,16105.0703125
2023-07-17,30145.888671875,1911.6461181640625,14244.9501953125,4522.7900390625,16068.650390625
2023-07-18,29856.5625,1897.5992431640625,14353.6396484375,4554.97998046875,16125.490234375
2023-07-19,29913.923828125,1889.0079345703125,14358.01953125,4565.72021484375,16108.9296875
2023-07-20,29792.015625,1890.9691162109375,14063.3095703125,4534.8701171875,16204.2197265625
2023-07-21,29908.744140625,1892.080078125,14032.8095703125,4536.33984375,16177.2197265625
2023-07-22,29771.802734375,1864.912353515625,14032.8095703125,4536.33984375,16177.2197265625
2023-07-23,30084.5390625,1889.191650390625,14032.8095703125,4536.33984375,16177.2197265625
2023-07-24,29176.916015625,1850.0020751953125,14058.8701171875,4554.64013671875,16190.9501953125
2023-07-25,29227.390625,1857.741943359375,14144.5595703125,4567.4599609375,16211.58984375
2023-07-26,29354.97265625,1872.159912109375,14127.2802734375,4566.75,16131.4599609375
2023-07-27,29210.689453125,1860.357177734375,14050.1103515625,4537.41015625,16406.029296875
2023-07-28,29319.24609375,1874.744873046875,14316.66015625,4582.22998046875,16469.75
2023-07-29,29356.91796875,1881.06884765625,14316.66015625,4582.22998046875,16469.75
2023-07-30,29275.30859375,1861.643798828125,14316.66015625,4582.22998046875,16469.75
2023-07-31,29230.111328125,1856.162353515625,14346.01953125,4588.9599609375,16446.830078125
2023-08-01,29675.732421875,1871.7921142578125,14283.91015625,4576.72998046875,16240.400390625
2023-08-02,29151.958984375,1839.0897216796875,13973.4501953125,4513.39013671875,16020.01953125
2023-08-03,29178.6796875,1835.136474609375,13959.7197265625,4501.89013671875,15893.3798828125
2023-08-04,29074.091796875,1827.712890625,13909.240234375,4478.02978515625,15951.8603515625
2023-08-05,29042.126953125,1834.9879150390625,13909.240234375,4478.02978515625,15951.8603515625
2023-08-06,29041.85546875,1827.4620361328125,13909.240234375,4478.02978515625,15951.8603515625
2023-08-07,29180.578125,1826.9388427734375,13994.400390625,4518.43994140625,15950.759765625
2023-08-08,29765.4921875,1855.807373046875,13884.3203125,4499.3798828125,15774.9296875
2023-08-09,29561.494140625,1854.297607421875,13722.01953125,4467.7099609375,15852.580078125
2023-08-10,29429.591796875,1850.75341796875,13737.990234375,4468.830078125,15996.51953125
2023-08-11,29397.71484375,1847.1243896484375,13644.849609375,4464.0498046875,15832.169921875
2023-08-12,29415.96484375,1848.889892578125,13644.849609375,4464.0498046875,15832.169921875
2023-08-13,29282.9140625,1839.2801513671875,13644.849609375,4464.0498046875,15832.169921875
2023-08-14,29408.443359375,1844.185791015625,13788.330078125,4489.72021484375,15904.25
2023-08-15,29170.34765625,1826.9327392578125,13631.0498046875,4437.85986328125,15767.2802734375
2023-08-16,28701.779296875,1805.6590576171875,13474.6298828125,4404.330078125,15789.4501953125
2023-08-17,26664.55078125,1684.9334716796875,13316.9296875,4370.35986328125,15676.900390625
2023-08-18,26049.556640625,1660.945068359375,13290.7802734375,4369.7099609375,15574.259765625
2023-08-19,26096.205078125,1669.471923828125,13290.7802734375,4369.7099609375,15574.259765625
2023-08-20,26189.583984375,1684.85205078125,13290.7802734375,4369.7099609375,15574.259765625
2023-08-21,26124.140625,1667.26904296875,13497.58984375,4399.77001953125,15603.2802734375
2023-08-22,26031.65625,1633.892578125,13505.8701171875,4387.5498046875,15705.6201171875
2023-08-23,26431.640625,1679.2744140625,13721.0302734375,4436.009765625,15728.41015625
2023-08-24,26162.373046875,1659.944580078125,13463.9697265625,4376.31005859375,15621.490234375
2023-08-25,26047.66796875,1652.93505859375,13590.650390625,4405.7099609375,15631.8203125
2023-08-26,26008.462890625,1646.3067626953125,13590.650390625,4405.7099609375,15631.8203125
2023-08-27,26089.693359375,1657.5130615234375,13590.650390625,4405.7099609375,15631.8203125
2023-08-28,26106.150390625,1652.4573974609375,13705.1298828125,4433.31005859375,15792.6103515625
2023-08-29,27727.392578125,1729.7257080078125,13943.759765625,4497.6298828125,15930.8798828125
2023-08-30,27297.265625,1705.1121826171875,14019.3095703125,4514.8701171875,15891.9296875
2023-08-31,25931.47265625,1645.63916015625,14034.9697265625,4507.66015625,15947.080078125
2023-09-01,25800.724609375,1628.4912109375,14031.8095703125,4515.77001953125,15840.33984375
2023-09-02,25868.798828125,1637.025390625,14031.8095703125,4515.77001953125,15840.33984375
2023-09-03,25969.56640625,1636.11767578125,14031.8095703125,4515.77001953125,15840.33984375
2023-09-04,25812.416015625,1629.6552734375,14031.8095703125,4515.77001953125,15824.849609375
2023-09-05,25779.982421875,1633.62939453125,14020.9501953125,4496.830078125,15771.7099609375
2023-09-06,25753.236328125,1632.2523193359375,13872.4697265625,4465.47998046875,15741.3701171875
2023-09-07,26240.1953125,1647.5982666015625,13748.830078125,4451.14013671875,15718.66015625
2023-09-08,25905.654296875,1636.1378173828125,13761.5302734375,4457.490234375,15740.2998046875
2023-09-09,25895.677734375,1635.162353515625,13761.5302734375,4457.490234375,15740.2998046875
2023-09-10,25832.2265625,1616.828857421875,13761.5302734375,4457.490234375,15740.2998046875
2023-09-11,25162.654296875,1551.6376953125,13917.8896484375,4487.4599609375,15800.990234375
2023-09-12,25833.34375,1592.429443359375,13773.6103515625,4461.89990234375,15715.5302734375
