date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow
2024-12-14,595321,1.3714003162856931,1205.1425061258592,129834.95771915533,130377.00668389544,825.50624753,1238981,-542.0489647401118
2024-12-15,572588,1.3962097889365206,1139.3381277381013,185009.401276438,150598.51064038265,825.50624753,1199954,34410.89063605535
2024-12-16,584730,1.4073566526161057,2088.3181209004374,481408.343675084,479737.8853566282,825.50624753,1288678,1670.458318455785
2024-12-17,633135,1.3723884479208324,2093.00063911176,587265.754142628,583984.7079120527,825.50624753,1319728,3281.0462305753026
2024-12-18,586437,1.3000117364676065,2276.4432283658143,508824.66340704326,596378.0725336954,825.50624753,1288421,-87553.40912665211
2024-12-19,593388,1.2388706479220075,2640.6902149849793,559335.2745433736,665732.7316295997,825.50624753,1281658,-106397.45708622609
2024-12-20,617940,1.2562333048476968,2540.0420554805005,688421.1212627058,712431.4357328062,825.50624753,1327871,-24010.31447010045
2024-12-21,636495,1.218060362707841,1120.2244252879216,347246.40970611956,291502.37870216224,825.50624753,1257560,55744.03100395732
2024-12-22,661932,1.2090484243726345,913.3529942321438,267726.8838614242,284472.9240427238,825.50624753,1254501,-16746.040181299555
2024-12-23,644736,1.2622610585203895,1300.4710261119867,551888.2421823688,641069.2715796984,825.50624753,1306194,-89181.02939732966
2024-12-24,681144,1.2912577955422575,944.4702352721274,577612.3939749548,599717.0283136219,825.50624753,1263508,-22104.634338667034
2024-12-25,647401,1.2975812666606372,752.670286299648,166880.74888553657,209428.236004429,825.50624753,1206212,-42547.48711889243
2024-12-26,575672,1.251264281354462,918.8534554768311,372042.74491092126,336929.07003895886,825.50624753,1208665,35113.6748719624
2024-12-27,597038,1.257706041994818,852.445815130343,400553.6376944424,389853.4128867599,825.50624753,1240371,10700.224807682505
2024-12-28,559493,1.2843504895490263,664.4086603301055,105553.95555972862,110093.19795065414,825.50624753,1193108,-4539.242390925516
2024-12-29,563774,1.2687227364666525,633.9004936433768,95419.17905368202,189492.37159095128,825.50624753,1199862,-94073.19253726926
2024-12-30,568891,1.2720937592221488,941.3133532521692,530928.5244871841,400887.4472552016,825.50624753,1240007,130041.07723198255
2024-12-31,550052,1.2632205803542018,1317.7374182971373,477862.7372575135,523982.01278991567,825.50624753,1248109,-46119.27553240216
2025-01-01,453472,1.26768610130158,2249.2393220070785,514748.18103202456,585228.5472826476,825.50624753,1040808,-70480.36625062302
2025-01-02,486772,1.2996318130980922,2643.295668217595,395224.3339398375,339121.7109431185,825.50624753,1086430,56102.62299671903
2025-01-03,555276,1.3481247282845497,1533.9479557221648,324083.4290950803,322361.3699659268,825.50624753,1236060,1722.0591291534947
2025-01-04,540771,1.3602423437462892,1265.9402566772403,156170.5442276043,146496.2410137903,825.50624753,1161690,9674.303213813982
